c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
341831608;0;15000;1;1;"Промышленное качество";"Закаленное в боях";47;Обыч.;"AWP | Африканская сетка (Закаленное в боях)";D2D2D2;206
341897993;0;13000;1;0;"Промышленное качество";"Немного поношенное";47;Обыч.;"AWP | Африканская сетка (Немного поношенное)";D2D2D2;172
341899732;0;49900;1;0;Запрещенное;Поношенное;19;Обыч.;"Glock-18 | Латунь (Поношенное)";D2D2D2;226
341930102;302028390;3590;1;1;"Промышленное качество";"После полевых испытаний";17;Обыч.;"M4A4 | Пиксельный камуфляж «Город» (После полевых испытаний)";D2D2D2;96
342052827;0;16000;1;0;"Армейское качество";"Прямо с завода";19;Обыч.;"Glock-18 | Карамельное яблоко (Прямо с завода)";D2D2D2;283
342102801;0;25000;1;0;Запрещенное;"Немного поношенное";47;Обыч.;"AWP | Гадюка (Немного поношенное)";D2D2D2;592
342205544;0;3239;1;1;"Промышленное качество";"После полевых испытаний";47;Обыч.;"AWP | Африканская сетка (После полевых испытаний)";D2D2D2;266
342277972;0;20000;1;0;Запрещенное;"После полевых испытаний";47;Обыч.;"AWP | Гадюка (После полевых испытаний)";D2D2D2;384
342378006;0;6900;1;0;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Гроза (После полевых испытаний)";D2D2D2;12
342378244;0;53718;1;0;Запрещенное;"Прямо с завода";47;Обыч.;"SCAR-20 | Изумруд (Прямо с завода)";D2D2D2;651
342380649;188530139;40000;1;0;Запрещенное;"Прямо с завода";19;Обыч.;"Glock-18 | Татуировка дракона (Прямо с завода)";D2D2D2;963
342440249;188530139;11850;1;0;"Армейское качество";"Прямо с завода";17;Обыч.;"M4A1-S | Кровавый тигр (Прямо с завода)";D2D2D2;1000
342524193;0;23000;1;0;Запрещенное;"После полевых испытаний";17;Обыч.;"M4A1-S | Нитро (После полевых испытаний)";D2D2D2;435
342570105;188530305;1900000;1;0;Тайное;"Немного поношенное";365;"★ StatTrak™";"★ StatTrak™ Штык-нож M9 | Вороненая сталь (Немного поношенное)";8650AC;1271
342930034;0;10000;1;0;"Промышленное качество";"После полевых испытаний";17;Обыч.;"AK-47 | Хищник (После полевых испытаний)";D2D2D2;288
342941906;0;6300;1;0;"Промышленное качество";"После полевых испытаний";19;Обыч.;"USP-S | Лесные листья (После полевых испытаний)";D2D2D2;47
343007933;0;6900;1;0;"Промышленное качество";"Закаленное в боях";17;Обыч.;"M4A1-S | Северный лес (Закаленное в боях)";D2D2D2;161
343280618;188530139;4500;1;0;"Армейское качество";"Прямо с завода";17;Обыч.;"AUG | Крылья (Прямо с завода)";D2D2D2;1042
343476652;480085569;21510;1;0;Запрещенное;"Прямо с завода";49;Обыч.;"Nova | Восходящий череп (Прямо с завода)";D2D2D2;504
343560303;0;6900;1;0;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Гроза (После полевых испытаний)";D2D2D2;13
344032729;188530139;57000;1;1;Засекреченное;"Прямо с завода";17;Обыч.;"M4A1-S | Страж (Прямо с завода)";D2D2D2;1043
344070356;188530139;6900;1;0;"Армейское качество";"Немного поношенное";19;Обыч.;"P250 | Ржавая сталь (Немного поношенное)";D2D2D2;297
344563260;0;15000;1;0;"Промышленное качество";"Закаленное в боях";17;Обыч.;"AK-47 | Хищник (Закаленное в боях)";D2D2D2;1000
344566128;188530170;1349000;1;0;Тайное;"Закаленное в боях";365;"★ StatTrak™";"★ StatTrak™ Штык-нож M9 | Поверхностная закалка (Закаленное в боях)";8650AC;1020
344628720;188530170;20000;1;0;"Армейское качество";"Прямо с завода";19;StatTrak™;"StatTrak™ P250 | Ржавая сталь (Прямо с завода)";CF6A32;463
344766143;302028390;9900;1;0;"Промышленное качество";"После полевых испытаний";47;Обыч.;"AWP | Африканская сетка (После полевых испытаний)";D2D2D2;84
345038154;0;3300;1;1;"Промышленное качество";"После полевых испытаний";3;Обыч.;"P90 | Ясень (После полевых испытаний)";D2D2D2;72
345185308;188530139;6900;1;0;"Армейское качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Синие полутона (После полевых испытаний)";D2D2D2;62
345257082;188530139;17000;1;1;Запрещенное;"Прямо с завода";17;Обыч.;"AK-47 | Синий ламинат (Прямо с завода)";D2D2D2;1000
345284129;0;24500;1;0;Запрещенное;"После полевых испытаний";47;Обыч.;"AWP | Гадюка (После полевых испытаний)";D2D2D2;302
345497239;188530139;2295500;1;0;Тайное;"Прямо с завода";365;★;"★ Складной нож | Ночь (Прямо с завода)";8650AC;1186
